No.,Author(s),Year,Full title,Journal,DOI,SHG engagement,Justification for inclusion
1,McMahon PM et al.,2008,Adopting Helical CT Screening for Lung Cancer: Potential Health Consequences During a Fifteen-Year Period,Cancer,10.1002/cncr.23962,Direct use through CISNET model lineage,"Populated the Lung Cancer Policy Model with U.S. population smoking histories, including initiation age, cessation age, and cigarettes per day drawn from sex- and birth-cohort distributions used by the model's SHG-based population component."
2,Deng L et al.,2009,Estimation of the effects of smoking and DNA repair capacity on coefficients of a carcinogenesis model for lung cancer,International Journal of Cancer,10.1002/ijc.24149,Explicit use in analysis,Used CISNET SHG outputs for the distributions of smoking-initiation age and smoking intensity used to calculate absolute lung-cancer risks.
3,Kong CY et al.,2009,Calibration of Disease Simulation Model Using an Engineering Approach,Value in Health,10.1111/j.1524-4733.2008.00484.x,Explicit use in analysis,"Used the NCI CISNET SHG to generate initiation age, cigarettes per day, and cessation age for calibration of a U.S. lung-cancer simulation model."
4,McMahon PM et al.,2011,Cost-Effectiveness of CT Screening for Lung Cancer in the U.S.,Journal of Thoracic Oncology,10.1097/jto.0b013e31822e59b3,Direct use through CISNET model lineage,"Used the Lung Cancer Policy Model's SHG-based population component to generate initiation age, cessation age, and smoking intensity for six simulated U.S. cohorts."
5,Anderson CM et al.,2012,Chapter 2: Birth-Cohort-Specific Estimates of Smoking Behaviors for the U.S. Population,Risk Analysis,10.1111/j.1539-6924.2011.01703.x,SHG input development,"Developed the birth-cohort initiation, cessation, duration, and smoking-intensity estimates that provide core probability inputs for the SHG."
6,Boer R et al.,2012,Chapter 15: Impact of Tobacco Control on Lung Cancer Mortality in the United States Over the Period 1975–2000—Summary and Limitations,Risk Analysis,10.1111/j.1539-6924.2012.01827.x,Direct use summary,Synthesized results from six lung models using the common SHG actual and counterfactual smoking-history scenarios.
7,Evans WK et al.,2012,The Evaluation of Cancer Control Interventions in Lung Cancer Using the Canadian Cancer Risk Management Model,Lung Cancer Management,10.2217/lmt.12.5,OncoSim internal-SHG methods/application,"Described and applied the Canadian Cancer Risk Management Model, whose lung module generates individual Canadian smoking histories using the NCI SHG methodological lineage."
8,Feuer EJ et al.,2012,"Chapter 1: The Impact of the Reduction in Tobacco Smoking on U.S. Lung Cancer Mortality, 1975–2000: An Introduction to the Problem",Risk Analysis,10.1111/j.1539-6924.2011.01745.x,SHG-based study overview,"Introduced the coordinated CISNET analysis that applied birth-cohort smoking histories under actual, no, and complete tobacco-control scenarios in six lung-cancer models."
9,Foy M et al.,2012,Chapter 11: Rice-MD Anderson Lung Cancer Model,Risk Analysis,10.1111/j.1539-6924.2011.01741.x,Direct use through CISNET model inputs,Applied the Rice-MD Anderson model to the three SHG-derived CISNET smoking scenarios to estimate the effect of tobacco control on U.S. lung-cancer mortality.
10,Hazelton WD et al.,2012,Chapter 8: The FHCRC Lung Cancer Model,Risk Analysis,10.1111/j.1539-6924.2011.01681.x,Explicit use in analysis,Used NCI SHG smoking histories and other-cause mortality as population inputs to the FHCRC lung-cancer model.
